"Domain","Name","DistinguishedName"
"ynovDomaine.com","Domain Controllers","OU=Domain Controllers,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: ynovGroup","OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: France","OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Ouest","OU=OU: Ouest,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Bordeaux","OU=OU: Bordeaux,OU=OU: Ouest,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Ordinateurs","OU=OU: Ordinateurs,OU=OU: Bordeaux,OU=OU: Ouest,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Est","OU=OU: Est,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Nord","OU=OU: Nord,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Sud","OU=OU: Sud,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Paris","OU=OU: Paris,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: International","OU=OU: International,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Nantes","OU=OU: Nantes,OU=OU: Ouest,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Rennes","OU=OU: Rennes,OU=OU: Ouest,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Aix-en-Provence","OU=OU: Aix-en-Provence,OU=OU: Sud,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Montpellier","OU=OU: Montpellier,OU=OU: Sud,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Nice-Sophia","OU=OU: Nice-Sophia,OU=OU: Sud,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Toulouse","OU=OU: Toulouse,OU=OU: Sud,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Lille","OU=OU: Lille,OU=OU: Nord,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Rouen","OU=OU: Rouen,OU=OU: Nord,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Lyon","OU=OU: Lyon,OU=OU: Est,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","OU: Strasbourg","OU=OU: Strasbourg,OU=OU: Est,OU=OU: France,OU=OU: ynovGroup,DC=ynovDomaine,DC=com"
